"user_id","recipe_id","rating","word"
190375,134728,5,"requests"
362734,44235,5,"busy"
362734,44235,5,"busy"
519838,235064,5,"taffy"
107135,426090,5,"tour"
844554,426090,5,"pac"
844554,426090,5,"pac"
130819,33096,5,"requests"
303700,232041,5,"swap"
303700,232041,5,"swap"
278118,232041,5,"versatile"
278118,232041,5,"versatile"
278118,232041,5,"swap"
278118,232041,5,"swap"
329769,232041,5,"swap"
329769,232041,5,"swap"
37449,232041,5,"swap"
37449,232041,5,"swap"
593927,232041,5,"swap"
593927,232041,5,"swap"
11297,232041,5,"versatile"
11297,232041,5,"versatile"
339260,232041,5,"swap"
339260,232041,5,"swap"
482376,232041,5,"swap"
482376,232041,5,"swap"
582561,232041,5,"swap"
582561,232041,5,"swap"
403396,232042,5,"permanent"
202661,98783,5,"elegant"
360471,98783,5,"permanent"
1055399,98783,5,"versatile"
1055399,98783,5,"versatile"
1307773,200083,4,"thnx"
124249,152116,5,"bullwinkle"
171303,152116,5,"marvelous"
119708,21132,5,"brunch"
540680,21132,5,"delightful"
1141909,367376,5,"delightful"
226863,367376,4,"pac"
226863,367376,4,"pac"
204024,367376,5,"pac"
204024,367376,5,"pac"
537179,289132,5,"pac"
537179,289132,5,"pac"
1898667,135585,5,"joke"
68884,12572,5,"versatile"
68884,12572,5,"versatile"
72243,12572,5,"requests"
951589,12572,5,"accident"
951589,12572,5,"accident"
223854,139213,5,"brunch"
223854,139213,5,"garnished"
284897,139213,5,"swap"
284897,139213,5,"swap"
464080,139213,5,"swap"
464080,139213,5,"swap"
96177,139213,4,"swap"
96177,139213,4,"swap"
39835,139213,5,"tour"
542159,139213,5,"yumm"
542159,139213,5,"yumm"
174096,139213,5,"swap"
174096,139213,5,"swap"
653438,139213,5,"swap"
653438,139213,5,"swap"
157425,207860,5,"swap"
157425,207860,5,"swap"
1802667833,86858,5,"favourite"
67656,129925,5,"garnished"
107135,129925,5,"dee"
163112,274368,5,"swap"
163112,274368,5,"swap"
1803109127,518015,5,"delightful"
475706,33861,5,"perfection"
485109,8507,5,"favourite"
242766,235273,5,"busy"
242766,235273,5,"busy"
463435,156341,5,"swap"
463435,156341,5,"swap"
81611,232078,3,"perfection"
129700,49461,5,"versatile"
129700,49461,5,"versatile"
650938,49461,5,"garnished"
192581,49461,5,"amazingly"
459426,69213,5,"dee"
1049139,69213,5,"delightful"
2001204596,211997,5,"delightful"
633520,155480,0,"aweful"
785032,155480,5,"yummo"
1098277,155480,5,"amazingly"
795588,313457,5,"versatile"
795588,313457,5,"versatile"
106608,313457,5,"saves"
2210022,313457,5,"busy"
2210022,313457,5,"busy"
144635,32082,5,"dee"
82367,32082,5,"favourite"
94087,32082,5,"favourite"
1151578,32082,5,"garnished"
2002181810,32082,5,"requests"
66899,17083,5,"inspiration"
105780,17083,5,"brunch"
1634772,17083,5,"amazingly"
359899,171002,5,"stephanie"
567380,171002,5,"busy"
567380,171002,5,"busy"
50969,69243,4,"smiling"
164538,169916,5,"yumm"
164538,169916,5,"yumm"
230102,169916,5,"delightful"
160974,169916,5,"roxygirl"
178427,169916,5,"delightful"
65197,283034,4,"brunch"
133174,283034,5,"brunch"
15851,24554,5,"stephanie"
9869,24554,5,"favourite"
110210,24554,5,"addicting"
110135,53594,5,"pace"
110135,53594,5,"pace"
60288,53594,5,"requests"
442276,53594,5,"marvelous"
1826706,14367,2,"swap"
1826706,14367,2,"swap"
164786,50022,5,"requests"
102299,50022,5,"amazingly"
290578,50022,5,"yummo"
684358,50022,5,"yummo"
644191,50022,5,"yumm"
644191,50022,5,"yumm"
197023,28517,5,"favourite"
767215,28517,5,"delightful"
593927,28517,5,"swap"
593927,28517,5,"swap"
130259,81851,0,"busy"
130259,81851,0,"busy"
538524,264260,5,"accident"
538524,264260,5,"accident"
95810,120813,5,"addicting"
